Department,Count
Seattle City Light,1802
Parks and Recreation Department,1764
Seattle Police Department,1634
Seattle Public Utilities,1549
Seattle Department of Transportation,1167
Seattle Fire Department,1138
Seattle Public Library,650
Finance and Administrative Service,575
Information Technology,571
Seattle Center,570
Human Services,467
Construction and Inspections,410
Seattle Municipal Courts,211
Law Department,211
Community Safety and Communication Center,198
Education and Early Learning,119
Legislative Department,98
Human Resources,88
Neighborhoods,64
Housing Office,63
Sustainability and Environment,60
Office of Arts and Culture,55
Office of Economic Development and Special Events Office,51
Planning and Community Office,50
Mayor's Office,47
Employees Retirement System,37
Civil Rights Office,37
City Budget Office,36
Office of Labor Standards,31
Office of the Inspector General for Public Safety,22
Emergency Management Office,13
Immigration and Refugee Affairs,12
Ethics and Elections Commissions,11
Community Police Commission,10
Civil Service Commissions,10
Intergovernmental Relations,8
City Auditor's Office,7
Office of the Employee Ombud,7
Hearing Examiner,5
Police Relief and Pension,4
Economic and Revenue Forecasts,2
